## Viral sequences (from https://gdc.cancer.gov/about-data/data-harmonization-and-generation/gdc-reference-files) found in unmapped reads
## Sample: PRJ180492_E201-T01-D
#virus	size	depth	1x	5x	25x
HPV42	7917	0.00	0	0	0
HPV41	7614	0.00	0	0	0
HPV40	7909	0.00	0	0	0
HPV4	7353	0.00	0	0	0
HPV39	7833	0.00	0	0	0
HPV38	7400	0.00	0	0	0
HPV37	7421	0.00	0	0	0
HPV36	7722	0.00	0	0	0
HPV35	7879	0.00	0	0	0
HPV34	7723	0.00	0	0	0
HPV33	7909	0.00	0	0	0
HPV32	7961	0.00	0	0	0
HPV31	7912	0.00	0	0	0
HPV30	7852	0.00	0	0	0
HPV3	7820	0.00	0	0	0
HPV29	7916	0.00	0	0	0
HPV28	7959	0.00	0	0	0
HPV27	7823	0.00	0	0	0
HPV26	7855	0.00	0	0	0
HPV25	7713	0.00	0	0	0
HPV24	7452	0.00	0	0	0
HPV23	7324	0.00	0	0	0
HPV22	7368	0.00	0	0	0
HPV21	7779	0.00	0	0	0
HPV20	7757	0.00	0	0	0
HPV2	7860	0.00	0	0	0
HPV199	7184	0.00	0	0	0
HPV197	7278	0.00	0	0	0
HPV19	7685	0.00	0	0	0
HPV184	7324	0.00	0	0	0
HPV180	7356	0.00	0	0	0
HPV18	7857	0.00	0	0	0
HPV179	7228	0.00	0	0	0
HPV178	7314	0.00	0	0	0
HPV175	7226	0.00	0	0	0
HPV174	7359	0.00	0	0	0
HPV173	7297	0.00	0	0	0
HPV172	7203	0.00	0	0	0
HPV171	7261	0.00	0	0	0
HPV170	7417	0.00	0	0	0
HPV17	7426	0.00	0	0	0
HPV169	7252	0.00	0	0	0
HPV168	7204	0.00	0	0	0
HPV167	7228	0.00	0	0	0
HPV166	7212	0.00	0	0	0
HPV165	7129	0.00	0	0	0
HPV164	7233	0.00	0	0	0
HPV163	7233	0.00	0	0	0
HPV162	7214	0.00	0	0	0
HPV161	7238	0.00	0	0	0
HPV160	7779	0.00	0	0	0
HPV16	7906	0.01	0	0	0
HPV159	7443	0.00	0	0	0
HPV156	7329	0.00	0	0	0
HPV155	7352	0.00	0	0	0
HPV154	7286	0.00	0	0	0
HPV153	7240	0.00	0	0	0
HPV152	7480	0.00	0	0	0
HPV151	7386	0.00	0	0	0
HPV150	7436	0.00	0	0	0
HPV15	7413	0.00	0	0	0
HPV149	7333	0.00	0	0	0
HPV148	7164	0.00	0	0	0
HPV147	7224	0.00	0	0	0
HPV146	7265	0.00	0	0	0
HPV145	7375	0.00	0	0	0
HPV144	7271	0.00	0	0	0
HPV143	7715	0.00	0	0	0
HPV142	7374	0.00	0	0	0
HPV141	7384	0.00	0	0	0
HPV140	7341	0.00	0	0	0
HPV14	7713	0.00	0	0	0
HPV139	7360	0.00	0	0	0
HPV138	7353	0.00	0	0	0
HPV137	7236	0.00	0	0	0
HPV136	7319	0.00	0	0	0
HPV135	7293	0.00	0	0	0
HPV134	7309	0.00	0	0	0
HPV133	7358	0.00	0	0	0
HPV132	7125	0.00	0	0	0
HPV131	7182	0.00	0	0	0
HPV130	7388	0.00	0	0	0
HPV13	7880	0.00	0	0	0
HPV129	7219	0.00	0	0	0
HPV128	7259	0.00	0	0	0
HPV127	7181	0.00	0	0	0
HPV126	7326	0.00	0	0	0
HPV125	7809	0.00	0	0	0
HPV124	7489	0.00	0	0	0
HPV123	7329	0.00	0	0	0
HPV122	7397	0.00	0	0	0
HPV121	7342	0.00	0	0	0
HPV120	7304	0.00	0	0	0
HPV12	7673	0.00	0	0	0
HPV119	7251	0.00	0	0	0
HPV118	7597	0.00	0	0	0
HPV117	7895	0.00	0	0	0
HPV116	7184	0.00	0	0	0
HPV115	7476	0.00	0	0	0
HPV114	8070	0.00	0	0	0
HPV113	7412	0.00	0	0	0
HPV112	7227	0.00	0	0	0
HPV111	7386	0.00	0	0	0
HPV110	7423	0.00	0	0	0
HPV11	7931	0.00	0	0	0
HPV109	7346	0.00	0	0	0
HPV108	7150	0.00	0	0	0
HPV107	7562	0.00	0	0	0
HPV106	8035	0.00	0	0	0
HPV105	7667	0.00	0	0	0
HPV104	7386	0.00	0	0	0
HPV103	7263	0.00	0	0	0
HPV102	8078	0.00	0	0	0
HPV101	7259	0.00	0	0	0
HPV100	7380	0.00	0	0	0
HPV10	7919	0.00	0	0	0
HPV1	7816	0.00	0	0	0
HPV-mSD2	7300	0.00	0	0	0
HPV-mRTRX7	7731	0.00	0	0	0
HPV-mL55	7177	0.00	0	0	0
HPV-mKN3	7251	0.00	0	0	0
HPV-mKN2	7299	0.00	0	0	0
HPV-mKN1	7300	0.00	0	0	0
HPV-mKC5	7143	0.00	0	0	0
HPV-mFi864	7247	0.00	0	0	0
HPV-mFS1	7167	0.00	0	0	0
HPV-mFD2	7219	0.00	0	0	0
HPV-mFD1	7286	0.00	0	0	0
HPV-mCH2	7190	0.00	0	0	0
HPV-mCG3	7095	0.00	0	0	0
HPV-mCG2	7152	0.00	0	0	0
HIV-2	10359	0.00	0	0	0
HIV-1	9181	0.00	0	0	0
HBV	3215	0.00	0	0	0
CMV	235646	0.00	0	0	0
